150L_x,150L_y,150L_z,250L_x,250L_y,250L_z,150R_x,150R_y,150R_z,250R_x,250R_y,250R_z,Straight_x,Straight_y,Straight_z,150L_LEdge_x,150L_LEdge_y,150L_REdge_x,150L_REdge_y,250L_LEdge_x,250L_LEdge_y,250L_REdge_x,250L_REdge_y,150R_LEdge_x,150R_LEdge_y,150R_REdge_x,150R_REdge_y,250R_LEdge_x,250R_LEdge_y,250R_REdge_x,250R_REdge_y,Straight_LEdge_x,Straight_LEdge_y,Straight_REdge_x,Straight_REdge_y
-116.3525492,-25.65847744,0.2809875,-115.4804739,-22.57393157,0.13335,52.27855696,17.19295607,-0.16271875,69.49496417,0.923155196,0.1254125,-111.016,0,-0.022225,-95.9951322,-30.42572063,-96.0993211,-31.01660528,-83.26684248,-28.09489236,-83.33476441,-28.69103548,111.9004919,35.72806312,111.9527853,35.1303463,102.9597038,10.83034446,103.0844508,10.2434559,-83.7,0.3,-83.7,-0.3
-110.4640354,-27.43912849,0.27543125,-109.5358103,-23.97919048,0.127,57.7191179,20.06447294,-0.18970625,75.26017268,2.942102502,0.10556875,-105.042,0,-0.03889375,-93.41823942,-30.85694459,-93.5121001,-31.44955759,-81.10075728,-28.33211727,-81.16347436,-28.92883041,114.515602,35.93387675,114.5574559,35.33533832,105.098206,11.27515357,105.2178268,10.68719874,167,0.3,167,-0.3
-104.5074606,-28.97683092,0.27860625,-103.5585878,-25.23878884,0.1397,63.27284621,22.7104915,-0.23098125,81.07298749,4.819590531,0.08016875,-99.007,0,-0.04524375,-90.83421321,-31.24312989,-90.91771707,-31.83729073,-78.9326844,-28.55043073,-78.99019186,-29.14766845,117.1339058,36.09401907,117.1653074,35.49484135,107.2405085,11.70128402,107.3549939,11.11230771,,,,
-98.49284373,-30.26899829,0.28654375,-97.55237479,-26.35197462,0.1397,68.93040045,25.12656111,-0.24685625,86.92993824,6.554498382,0.04206875,-93.012,0,-0.05000625,-88.24384071,-31.5841589,-88.31696231,-32.17968659,-76.76278896,-28.74981611,-76.81508241,-29.34753293,119.7546056,36.2084413,119.7755453,35.6088068,109.386448,12.10870336,109.4957893,11.51875042,,,,
-92.43030152,-31.31345716,0.2905125,-91.52075714,-27.31808324,0.1524,74.68226454,27.30861792,-0.27066875,92.82752821,8.145790282,-0.0047625,-87.014,0,-0.0492125,-85.64791095,-31.87992774,-85.71062803,-32.47664087,-74.5912362,-28.93025823,-74.63831166,-29.52840863,122.3769033,36.27710858,122.3873748,35.67719996,111.5358611,12.49738058,111.64005,11.90649593,,,,
-86.33003123,-32.10845073,0.30083125,-85.46733585,-28.13653791,0.15875,80.51876375,29.25299167,-0.282575,98.76223641,9.592516196,-0.01508125,-81.013,0,-0.0492125,-83.04721469,-32.1303463,-83.09950813,-32.72806312,-72.41819149,-29.09174335,-72.46004538,-29.69028178,125,36.3,125,35.7,113.6885843,12.86728606,113.7876128,12.2755147,,,,
-80.2022936,-32.65264183,0.3032125,-79.39572494,-28.80685,0.1651,86.43008103,30.9564119,-0.29289375,104.7305197,10.8938124,-0.0127,-75.021,0,-0.047625,-80.44254412,-32.33533832,-80.484398,-32.93387675,-70.24382032,-29.23425917,-70.28044945,-29.83314004,127.6230967,36.27710858,127.6126252,35.67719996,115.8444534,13.21839165,115.9383141,12.62577865,,,,
-74.05739557,-32.9451151,0.30400625,-73.30954928,-29.32861931,0.168275,92.40627344,32.41601343,-0.295275,110.7288149,12.04890199,-0.00635,-69.035,0,-0.0492125,-77.83469265,-32.49484135,-77.86609422,-33.09401907,-68.06828827,-29.35779483,-68.09968985,-29.95697255,130.2453944,36.2084413,130.2244547,35.6088068,118.0033044,13.5506706,118.09199,12.95726108,,,,
-67.90567295,-32.9853786,0.30241875,-67.21244245,-29.70153434,0.17145,98.43728895,33.6293412,-0.31353125,116.7535409,13.05709536,-0.02143125,-63.051,0,-0.0492125,-75.22445466,-32.6088068,-75.24539435,-33.2084413,-65.89176103,-29.46234093,-65.91793266,-30.06176986,132.8660942,36.09401907,132.8346926,35.49484135,120.1649728,13.86409761,120.2484767,13.26993676,,,,
-61.75747301,-32.77336462,0.3048,-61.10804454,-29.92537245,0.1778,104.5129833,34.59435436,-0.339725,122.8011009,13.9177906,-0.0333375,-57.018,0,-0.05000625,-72.61262524,-32.67719996,-72.62309669,-33.27710858,-63.71440433,-29.54788951,-63.73534402,-30.147524,135.484398,35.93387675,135.4425441,35.33533832,122.3292941,14.1586488,122.4076098,13.56378189,,,,
